BW = 10000;AVG = 15
+7.100000E+9	-1.862029E-2	+9.457748E-1
+7.100015E+9	-1.830168E-2	+9.454967E-1
+7.100030E+9	-1.867148E-2	+9.453232E-1
+7.100045E+9	-1.802815E-2	+9.449591E-1
+7.100060E+9	-1.794359E-2	+9.450903E-1
+7.100075E+9	-1.770208E-2	+9.441514E-1
+7.100090E+9	-1.728632E-2	+9.448497E-1
+7.100105E+9	-1.727506E-2	+9.451777E-1
+7.100120E+9	-1.747569E-2	+9.446167E-1
+7.100135E+9	-1.778818E-2	+9.447655E-1
+7.100150E+9	-1.672845E-2	+9.448844E-1
+7.100165E+9	-1.674433E-2	+9.449885E-1
+7.100180E+9	-1.745295E-2	+9.452288E-1
+7.100195E+9	-1.696627E-2	+9.446574E-1
+7.100210E+9	-1.662647E-2	+9.449314E-1
+7.100225E+9	-1.646305E-2	+9.454073E-1
+7.100240E+9	-1.640536E-2	+9.453119E-1
+7.100255E+9	-1.571358E-2	+9.451526E-1
+7.100270E+9	-1.597783E-2	+9.447789E-1
+7.100285E+9	-1.608470E-2	+9.446582E-1
+7.100300E+9	-1.601695E-2	+9.449552E-1
+7.100315E+9	-1.606093E-2	+9.446925E-1
+7.100330E+9	-1.575628E-2	+9.447217E-1
+7.100345E+9	-1.554900E-2	+9.443448E-1
+7.100360E+9	-1.481045E-2	+9.445303E-1
+7.100375E+9	-1.483236E-2	+9.446781E-1
+7.100390E+9	-1.485878E-2	+9.445644E-1
+7.100405E+9	-1.401516E-2	+9.450342E-1
+7.100420E+9	-1.462169E-2	+9.454868E-1
+7.100435E+9	-1.455614E-2	+9.448721E-1
+7.100450E+9	-1.368081E-2	+9.451326E-1
+7.100465E+9	-1.344440E-2	+9.452086E-1
+7.100480E+9	-1.422177E-2	+9.451549E-1
+7.100495E+9	-1.414886E-2	+9.449244E-1
+7.100510E+9	-1.342235E-2	+9.449211E-1
+7.100525E+9	-1.319146E-2	+9.450400E-1
+7.100540E+9	-1.351325E-2	+9.456476E-1
+7.100555E+9	-1.373992E-2	+9.452497E-1
+7.100570E+9	-1.352339E-2	+9.450019E-1
+7.100585E+9	-1.290234E-2	+9.448828E-1
+7.100600E+9	-1.259406E-2	+9.449783E-1
+7.100615E+9	-1.211384E-2	+9.445383E-1
+7.100630E+9	-1.236457E-2	+9.440989E-1
+7.100645E+9	-1.229912E-2	+9.449627E-1
+7.100660E+9	-1.272297E-2	+9.452090E-1
+7.100675E+9	-1.187049E-2	+9.456177E-1
+7.100690E+9	-1.177345E-2	+9.458975E-1
+7.100705E+9	-1.171720E-2	+9.454256E-1
+7.100720E+9	-1.157594E-2	+9.451449E-1
+7.100735E+9	-1.112727E-2	+9.448673E-1
+7.100750E+9	-1.131439E-2	+9.450053E-1
+7.100765E+9	-1.101998E-2	+9.449570E-1
+7.100780E+9	-1.106551E-2	+9.451629E-1
+7.100795E+9	-1.160657E-2	+9.452850E-1
+7.100810E+9	-1.109018E-2	+9.451435E-1
+7.100825E+9	-1.045913E-2	+9.445667E-1
+7.100840E+9	-1.031280E-2	+9.448223E-1
+7.100855E+9	-1.050784E-2	+9.448142E-1
+7.100870E+9	-1.049684E-2	+9.443264E-1
+7.100885E+9	-9.538881E-3	+9.442138E-1
+7.100900E+9	-9.607997E-3	+9.447623E-1
+7.100915E+9	-9.854852E-3	+9.452985E-1
+7.100930E+9	-1.000403E-2	+9.452743E-1
+7.100945E+9	-9.083383E-3	+9.455222E-1
+7.100960E+9	-9.120170E-3	+9.454623E-1
+7.100975E+9	-9.289934E-3	+9.447869E-1
+7.100990E+9	-9.607167E-3	+9.452325E-1
+7.101005E+9	-9.488577E-3	+9.450147E-1
+7.101020E+9	-9.501184E-3	+9.452720E-1
+7.101035E+9	-9.012489E-3	+9.451305E-1
+7.101050E+9	-8.970957E-3	+9.446552E-1
+7.101065E+9	-8.119914E-3	+9.443918E-1
+7.101080E+9	-8.601948E-3	+9.448331E-1
+7.101095E+9	-8.208069E-3	+9.447143E-1
+7.101110E+9	-8.053585E-3	+9.452769E-1
+7.101125E+9	-7.739143E-3	+9.448298E-1
+7.101140E+9	-8.059515E-3	+9.449376E-1
+7.101155E+9	-7.653969E-3	+9.448735E-1
+7.101170E+9	-7.624022E-3	+9.448489E-1
+7.101185E+9	-7.397667E-3	+9.450583E-1
+7.101200E+9	-7.400389E-3	+9.443555E-1
+7.101215E+9	-6.743067E-3	+9.450902E-1
+7.101230E+9	-7.109576E-3	+9.454352E-1
+7.101245E+9	-6.893013E-3	+9.451225E-1
+7.101260E+9	-6.931380E-3	+9.455122E-1
+7.101275E+9	-6.488856E-3	+9.453994E-1
+7.101290E+9	-6.474458E-3	+9.448327E-1
+7.101305E+9	-6.423841E-3	+9.451515E-1
+7.101320E+9	-6.148259E-3	+9.450390E-1
+7.101335E+9	-6.149393E-3	+9.449074E-1
+7.101350E+9	-5.922877E-3	+9.448395E-1
+7.101365E+9	-5.575731E-3	+9.447473E-1
+7.101380E+9	-5.037000E-3	+9.446825E-1
+7.101395E+9	-4.870180E-3	+9.451905E-1
+7.101410E+9	-4.673871E-3	+9.446656E-1
+7.101425E+9	-4.839382E-3	+9.444255E-1
+7.101440E+9	-4.595321E-3	+9.447020E-1
+7.101455E+9	-4.571942E-3	+9.450315E-1
+7.101470E+9	-4.478995E-3	+9.455438E-1
+7.101485E+9	-4.385428E-3	+9.453779E-1
+7.101500E+9	-4.636456E-3	+9.451161E-1
+7.101515E+9	-3.692190E-3	+9.451596E-1
+7.101530E+9	-3.684934E-3	+9.456051E-1
+7.101545E+9	-3.160034E-3	+9.457233E-1
+7.101560E+9	-3.503995E-3	+9.453397E-1
+7.101575E+9	-3.487872E-3	+9.454749E-1
+7.101590E+9	-3.261936E-3	+9.454379E-1
